artist,song_count
Ella Fitzgerald,10
The Beatles,10
Stevie Wonder,7
Marilyn Manson,6
OneRepublic,6
Håkan Hellström,5
Napalm Death,5
Charlie Brown Jr.,5
Chuck Berry,5
George Jones,5
Prateek Kuhad,5
Blake Shelton,4
Blake Rules;Netherfriends,4
The Beach Boys,4
Mickie Krause,4
Arctic Monkeys,4
Pink Sweat$,4
Scorpions,4
Nusrat Fateh Ali Khan,4
Eikichi Yazawa,4
Criolo,4
Elvis Presley,4
Cameron's Bedtime Classics,4
Timothy Infinite,4
Nat King Cole,4
Peggy Lee,4
Eason Chan,4
BOØWY,4
Billie Eilish,4
Bryan Adams,4
